subject,labels(n),r,r-type,object
"{""skos__prefLabel"":Unclosed Pizza,""n4sch__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""rdfs__comment"":An unclosed Pizza cannot be inferred to be either a VegetarianPizza or a NonVegetarianPizza, because it might have other toppings.,""n4sch__label"":UnclosedPizza,""n4sch__name"":UnclosedPizza,""rdfs__label"":UnclosedPizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#UnclosedPizza}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1020}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__name"":hasBase,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasBase}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},rdfs__domain,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1209}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1150}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1420}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":https://en.wikipedia.org/wiki/Pizza}",[Resource],{},rdfs__seeAlso,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""n4sch__name"":Food,""skos__prefLabel"":Food,""rdfs__label"":Food,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Food,""n4sch__label"":Food}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1310}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
"{""uri"":bnode://node1f07tfve2x1122}",[Resource],{},rdf__first,"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}"
